0  390  tensor(26.5860, device='cuda:0')
1  390  tensor(38.6240, device='cuda:0')
2  390  tensor(47.2500, device='cuda:0')
3  390  tensor(52.5020, device='cuda:0')
4  390  tensor(56.6780, device='cuda:0')
5  390  tensor(59.9160, device='cuda:0')
6  390  tensor(62.0320, device='cuda:0')
7  390  tensor(64.3300, device='cuda:0')
8  390  tensor(66.0160, device='cuda:0')
9  390  tensor(67.9200, device='cuda:0')
10  390  tensor(69.9080, device='cuda:0')
11  390  tensor(71.7900, device='cuda:0')
12  390  tensor(73.0800, device='cuda:0')
13  390  tensor(74.1860, device='cuda:0')
14  390  tensor(75.4780, device='cuda:0')
15  390  tensor(76.0660, device='cuda:0')
16  390  tensor(77.3100, device='cuda:0')
17  390  tensor(77.7760, device='cuda:0')
18  390  tensor(78.3200, device='cuda:0')
19  390  tensor(79.0440, device='cuda:0')
20  390  tensor(79.8820, device='cuda:0')
21  390  tensor(80.4720, device='cuda:0')
22  390  tensor(81., device='cuda:0')
23  390  tensor(81.5100, device='cuda:0')
24  390  tensor(81.9140, device='cuda:0')
25  390  tensor(82.4480, device='cuda:0')
26  390  tensor(82.5900, device='cuda:0')
27  390  tensor(82.9460, device='cuda:0')
28  390  tensor(83.4820, device='cuda:0')
29  390  tensor(83.5240, device='cuda:0')
30  390  tensor(84.0760, device='cuda:0')
31  390  tensor(84.5520, device='cuda:0')
32  390  tensor(84.6920, device='cuda:0')
33  390  tensor(84.9620, device='cuda:0')
34  390  tensor(84.9740, device='cuda:0')
35  390  tensor(85.2500, device='cuda:0')
36  390  tensor(85.8480, device='cuda:0')
37  390  tensor(85.8480, device='cuda:0')
38  390  tensor(86.0800, device='cuda:0')
39  390  tensor(86.2560, device='cuda:0')
40  390  tensor(86.5360, device='cuda:0')
41  390  tensor(86.7200, device='cuda:0')
42  390  tensor(86.8180, device='cuda:0')
43  390  tensor(87.1360, device='cuda:0')
44  390  tensor(87.2560, device='cuda:0')
45  390  tensor(87.5220, device='cuda:0')
46  390  tensor(87.6580, device='cuda:0')
47  390  tensor(87.6320, device='cuda:0')
48  390  tensor(87.7180, device='cuda:0')
49  390  tensor(87.8080, device='cuda:0')
50  390  tensor(88.0420, device='cuda:0')
51  390  tensor(88.1340, device='cuda:0')
52  390  tensor(88.5780, device='cuda:0')
53  390  tensor(88.5420, device='cuda:0')
54  390  tensor(88.8760, device='cuda:0')
55  390  tensor(88.8180, device='cuda:0')
56  390  tensor(88.6740, device='cuda:0')
57  390  tensor(88.9440, device='cuda:0')
58  390  tensor(89.2320, device='cuda:0')
59  390  tensor(89.1060, device='cuda:0')
60  390  tensor(89.0720, device='cuda:0')
61  390  tensor(89.4980, device='cuda:0')
62  390  tensor(89.5080, device='cuda:0')
63  390  tensor(89.5060, device='cuda:0')
64  390  tensor(89.5880, device='cuda:0')
65  390  tensor(89.8160, device='cuda:0')
66  390  tensor(89.9300, device='cuda:0')
67  390  tensor(90.0920, device='cuda:0')
68  390  tensor(90.1540, device='cuda:0')
69  390  tensor(90.2040, device='cuda:0')
70  390  tensor(90.4320, device='cuda:0')
71  390  tensor(90.3000, device='cuda:0')
72  390  tensor(90.4940, device='cuda:0')
73  390  tensor(90.5460, device='cuda:0')
74  390  tensor(90.6160, device='cuda:0')
75  390  tensor(90.6060, device='cuda:0')
76  390  tensor(90.7400, device='cuda:0')
77  390  tensor(90.6380, device='cuda:0')
78  390  tensor(90.9300, device='cuda:0')
79  390  tensor(90.9580, device='cuda:0')
80  390  tensor(91.1620, device='cuda:0')
81  390  tensor(91.0920, device='cuda:0')
82  390  tensor(91.0340, device='cuda:0')
83  390  tensor(91.2200, device='cuda:0')
84  390  tensor(91.3260, device='cuda:0')
85  390  tensor(91.2020, device='cuda:0')
86  390  tensor(91.4460, device='cuda:0')
87  390  tensor(91.5760, device='cuda:0')
88  390  tensor(91.4440, device='cuda:0')
89  390  tensor(91.4420, device='cuda:0')
90  390  tensor(91.8200, device='cuda:0')
91  390  tensor(91.6560, device='cuda:0')
92  390  tensor(91.6500, device='cuda:0')
93  390  tensor(91.5320, device='cuda:0')
94  390  tensor(91.8720, device='cuda:0')
95  390  tensor(92.0160, device='cuda:0')
96  390  tensor(91.6420, device='cuda:0')
97  390  tensor(91.8940, device='cuda:0')
98  390  tensor(92.1720, device='cuda:0')
99  390  tensor(91.9380, device='cuda:0')
100  390  tensor(92.1460, device='cuda:0')
101  390  tensor(68.1380, device='cuda:0')
102  390  tensor(70.6880, device='cuda:0')
103  390  tensor(69.8200, device='cuda:0')
104  390  tensor(69.5720, device='cuda:0')
105  390  tensor(70.6900, device='cuda:0')
106  390  tensor(69.3860, device='cuda:0')
107  390  tensor(73.0040, device='cuda:0')
108  390  tensor(69.9220, device='cuda:0')
109  390  tensor(73.4620, device='cuda:0')
110  390  tensor(70.5000, device='cuda:0')
111  390  tensor(71.6360, device='cuda:0')
112  390  tensor(72.7140, device='cuda:0')
113  390  tensor(72.0620, device='cuda:0')
114  390  tensor(72.8360, device='cuda:0')
115  390  tensor(70.7340, device='cuda:0')
116  390  tensor(73.0520, device='cuda:0')
117  390  tensor(73.3360, device='cuda:0')
118  390  tensor(71.5520, device='cuda:0')
119  390  tensor(71.1200, device='cuda:0')
120  390  tensor(72.8340, device='cuda:0')
121  390  tensor(70.9900, device='cuda:0')
122  390  tensor(70.5620, device='cuda:0')
123  390  tensor(74.5900, device='cuda:0')
124  390  tensor(71.7800, device='cuda:0')
125  390  tensor(72.3100, device='cuda:0')
126  390  tensor(70.8320, device='cuda:0')
127  390  tensor(70.4440, device='cuda:0')
128  390  tensor(72.5360, device='cuda:0')
129  390  tensor(71.9820, device='cuda:0')
130  390  tensor(71.2660, device='cuda:0')
131  390  tensor(72.3980, device='cuda:0')
132  390  tensor(72.4800, device='cuda:0')
133  390  tensor(73.9220, device='cuda:0')
134  390  tensor(73.2000, device='cuda:0')
135  390  tensor(72.7840, device='cuda:0')
136  390  tensor(72.4140, device='cuda:0')
137  390  tensor(73.6260, device='cuda:0')
138  390  tensor(71.2200, device='cuda:0')
139  390  tensor(73.1340, device='cuda:0')
140  390  tensor(73.0440, device='cuda:0')
141  390  tensor(71.7400, device='cuda:0')
142  390  tensor(72.0700, device='cuda:0')
143  390  tensor(73.5360, device='cuda:0')
144  390  tensor(71.7060, device='cuda:0')
145  390  tensor(73.7020, device='cuda:0')
146  390  tensor(72.7100, device='cuda:0')
147  390  tensor(74.0540, device='cuda:0')
148  390  tensor(70.4300, device='cuda:0')
149  390  tensor(72.5360, device='cuda:0')
150  390  tensor(71.1400, device='cuda:0')
151  390  tensor(73.6120, device='cuda:0')
152  390  tensor(72.1360, device='cuda:0')
153  390  tensor(74.2060, device='cuda:0')
154  390  tensor(73.4560, device='cuda:0')
155  390  tensor(72.5380, device='cuda:0')
156  390  tensor(73.9360, device='cuda:0')
157  390  tensor(74.7120, device='cuda:0')
158  390  tensor(72.4240, device='cuda:0')
159  390  tensor(74.6680, device='cuda:0')
160  390  tensor(71.1920, device='cuda:0')
161  390  tensor(72.5380, device='cuda:0')
162  390  tensor(71.9860, device='cuda:0')
163  390  tensor(71.1480, device='cuda:0')
164  390  tensor(74.8060, device='cuda:0')
165  390  tensor(74.1400, device='cuda:0')
166  390  tensor(73.0700, device='cuda:0')
167  390  tensor(73.1220, device='cuda:0')
168  390  tensor(73.2880, device='cuda:0')
169  390  tensor(72.3960, device='cuda:0')
170  390  tensor(74.5580, device='cuda:0')
171  390  tensor(72.5840, device='cuda:0')
172  390  tensor(76.3560, device='cuda:0')
173  390  tensor(73.6260, device='cuda:0')
174  390  tensor(72.2140, device='cuda:0')
175  390  tensor(72.2060, device='cuda:0')
176  390  tensor(71.8040, device='cuda:0')
177  390  tensor(73.7960, device='cuda:0')
178  390  tensor(73.8620, device='cuda:0')
179  390  tensor(72.5300, device='cuda:0')
180  390  tensor(71.2500, device='cuda:0')
181  390  tensor(74.1420, device='cuda:0')
182  390  tensor(75.5560, device='cuda:0')
183  390  tensor(72.5660, device='cuda:0')
184  390  tensor(74.8540, device='cuda:0')
185  390  tensor(74.4460, device='cuda:0')
186  390  tensor(71.8540, device='cuda:0')
187  390  tensor(73.4560, device='cuda:0')
188  390  tensor(73.7580, device='cuda:0')
189  390  tensor(74.8940, device='cuda:0')
190  390  tensor(74.2000, device='cuda:0')
191  390  tensor(71.7940, device='cuda:0')
192  390  tensor(73.2760, device='cuda:0')
193  390  tensor(73.5240, device='cuda:0')
194  390  tensor(74.2280, device='cuda:0')
195  390  tensor(74.4060, device='cuda:0')
196  390  tensor(73.7780, device='cuda:0')
197  390  tensor(73.3760, device='cuda:0')
198  390  tensor(75.2360, device='cuda:0')
199  390  tensor(72.5620, device='cuda:0')
200  390  tensor(75.9180, device='cuda:0')
201  390  tensor(74.2380, device='cuda:0')
202  390  tensor(71.3360, device='cuda:0')
203  390  tensor(73.9080, device='cuda:0')
204  390  tensor(71.8800, device='cuda:0')
205  390  tensor(74.2020, device='cuda:0')
206  390  tensor(72.3300, device='cuda:0')
207  390  tensor(74.6460, device='cuda:0')
208  390  tensor(74.3440, device='cuda:0')
209  390  tensor(73.4260, device='cuda:0')
210  390  tensor(73.9820, device='cuda:0')
211  390  tensor(74.8460, device='cuda:0')
212  390  tensor(75.4140, device='cuda:0')
213  390  tensor(74.2560, device='cuda:0')
214  390  tensor(74.4880, device='cuda:0')
215  390  tensor(76.6060, device='cuda:0')
216  390  tensor(74.2220, device='cuda:0')
217  390  tensor(76.2840, device='cuda:0')
218  390  tensor(78.5700, device='cuda:0')
219  390  tensor(74.4580, device='cuda:0')
220  390  tensor(75.6820, device='cuda:0')
221  390  tensor(73.6560, device='cuda:0')
222  390  tensor(73.4840, device='cuda:0')
223  390  tensor(74.3040, device='cuda:0')
224  390  tensor(75.9480, device='cuda:0')
225  390  tensor(73.8040, device='cuda:0')
226  390  tensor(74.8160, device='cuda:0')
227  390  tensor(74.5440, device='cuda:0')
228  390  tensor(77.1740, device='cuda:0')
229  390  tensor(74.8300, device='cuda:0')
230  390  tensor(73.8420, device='cuda:0')
231  390  tensor(76.9480, device='cuda:0')
232  390  tensor(74.4880, device='cuda:0')
233  390  tensor(75.3980, device='cuda:0')
234  390  tensor(74.7680, device='cuda:0')
235  390  tensor(76.2920, device='cuda:0')
236  390  tensor(75.0960, device='cuda:0')
237  390  tensor(72.7920, device='cuda:0')
238  390  tensor(73.8500, device='cuda:0')
239  390  tensor(75.1560, device='cuda:0')
240  390  tensor(75.9600, device='cuda:0')
241  390  tensor(73.8720, device='cuda:0')
242  390  tensor(74.9540, device='cuda:0')
243  390  tensor(76.7080, device='cuda:0')
244  390  tensor(77.0160, device='cuda:0')
245  390  tensor(76.9040, device='cuda:0')
246  390  tensor(73.6580, device='cuda:0')
