0  234  lr 0.010000000000000002  tensor(55.5983, device='cuda:0')
1  234  lr 0.020000000000000004  tensor(69.3200, device='cuda:0')
2  234  lr 0.03  tensor(74.2017, device='cuda:0')
3  234  lr 0.04000000000000001  tensor(77.6983, device='cuda:0')
4  234  lr 0.05  tensor(79.7900, device='cuda:0')
5  234  lr 0.06  tensor(81.1283, device='cuda:0')
6  234  lr 0.06999999999999999  tensor(82.6967, device='cuda:0')
7  234  lr 0.08000000000000002  tensor(83.4383, device='cuda:0')
8  234  lr 0.09000000000000001  tensor(84.2183, device='cuda:0')
9  234  lr 0.1  tensor(84.7917, device='cuda:0')
10  234  lr 0.1  tensor(85.6617, device='cuda:0')
11  234  lr 0.09999974825027756  tensor(42.0150, device='cuda:0')
12  234  lr 0.09999899300364533  tensor(58.0367, device='cuda:0')
13  234  lr 0.09999773426770864  tensor(62.6667, device='cuda:0')
14  234  lr 0.09999597205514298  tensor(64.5767, device='cuda:0')
15  234  lr 0.09999370638369376  tensor(66.3933, device='cuda:0')
16  234  lr 0.0999909372761763  tensor(68.7000, device='cuda:0')
17  234  lr 0.09998766476047546  tensor(70.0417, device='cuda:0')
18  234  lr 0.09998388886954546  tensor(68.4883, device='cuda:0')
19  234  lr 0.09997960964140946  tensor(71.0600, device='cuda:0')
20  234  lr 0.09997482711915927  tensor(70.5200, device='cuda:0')
21  234  lr 0.0999695413509548  tensor(70.2233, device='cuda:0')
22  234  lr 0.0999637523900237  tensor(70.4267, device='cuda:0')
23  234  lr 0.09995746029466071  tensor(73.0633, device='cuda:0')
24  234  lr 0.0999506651282272  tensor(69.9150, device='cuda:0')
25  234  lr 0.0999433669591504  tensor(71.5767, device='cuda:0')
26  234  lr 0.09993556586092281  tensor(71.1333, device='cuda:0')
27  234  lr 0.09992726191210138  tensor(72.9817, device='cuda:0')
28  234  lr 0.09991845519630678  tensor(75.8767, device='cuda:0')
29  234  lr 0.09990914580222257  tensor(70.4217, device='cuda:0')
