0  468  tensor(57.3900, device='cuda:0')
1  468  tensor(70.2950, device='cuda:0')
2  468  tensor(75.8917, device='cuda:0')
3  468  tensor(78.8417, device='cuda:0')
4  468  tensor(80.8083, device='cuda:0')
5  468  tensor(81.3967, device='cuda:0')
6  468  tensor(83.4033, device='cuda:0')
7  468  tensor(84.1117, device='cuda:0')
8  468  tensor(85.2633, device='cuda:0')
9  468  tensor(85.6300, device='cuda:0')
10  468  tensor(86.5550, device='cuda:0')
11  468  tensor(87.3150, device='cuda:0')
12  468  tensor(87.9333, device='cuda:0')
13  468  tensor(87.8950, device='cuda:0')
14  468  tensor(88.6100, device='cuda:0')
15  468  tensor(88.6433, device='cuda:0')
16  468  tensor(89.1233, device='cuda:0')
17  468  tensor(89.4683, device='cuda:0')
18  468  tensor(89.5083, device='cuda:0')
19  468  tensor(89.8167, device='cuda:0')
20  468  tensor(90.0133, device='cuda:0')
21  468  tensor(90.1200, device='cuda:0')
22  468  tensor(90.2850, device='cuda:0')
23  468  tensor(90.3450, device='cuda:0')
24  468  tensor(90.4667, device='cuda:0')
25  468  tensor(90.7333, device='cuda:0')
26  468  tensor(90.8167, device='cuda:0')
27  468  tensor(90.8983, device='cuda:0')
28  468  tensor(91.0200, device='cuda:0')
29  468  tensor(91.1917, device='cuda:0')
30  468  tensor(91.3083, device='cuda:0')
31  468  tensor(91.5017, device='cuda:0')
32  468  tensor(91.3617, device='cuda:0')
33  468  tensor(91.6683, device='cuda:0')
34  468  tensor(91.7750, device='cuda:0')
35  468  tensor(91.9467, device='cuda:0')
36  468  tensor(92.1383, device='cuda:0')
37  468  tensor(92.0233, device='cuda:0')
38  468  tensor(92.2833, device='cuda:0')
39  468  tensor(92.2917, device='cuda:0')
40  468  tensor(92.5033, device='cuda:0')
41  468  tensor(92.5100, device='cuda:0')
42  468  tensor(92.5483, device='cuda:0')
43  468  tensor(92.5367, device='cuda:0')
44  468  tensor(92.8050, device='cuda:0')
45  468  tensor(92.6650, device='cuda:0')
46  468  tensor(92.9233, device='cuda:0')
47  468  tensor(92.6900, device='cuda:0')
48  468  tensor(92.1333, device='cuda:0')
49  468  tensor(92.1750, device='cuda:0')
50  468  tensor(92.1817, device='cuda:0')
51  468  tensor(92.3933, device='cuda:0')
52  468  tensor(92.4833, device='cuda:0')
53  468  tensor(92.4467, device='cuda:0')
54  468  tensor(92.4183, device='cuda:0')
55  468  tensor(92.8067, device='cuda:0')
56  468  tensor(92.5600, device='cuda:0')
57  468  tensor(92.7167, device='cuda:0')
58  468  tensor(92.7400, device='cuda:0')
59  468  tensor(92.8617, device='cuda:0')
60  468  tensor(92.8400, device='cuda:0')
61  468  tensor(92.8600, device='cuda:0')
62  468  tensor(92.8667, device='cuda:0')
63  468  tensor(92.8833, device='cuda:0')
64  468  tensor(92.8267, device='cuda:0')
65  468  tensor(93.0833, device='cuda:0')
66  468  tensor(93.0733, device='cuda:0')
67  468  tensor(93.0633, device='cuda:0')
68  468  tensor(92.9933, device='cuda:0')
69  468  tensor(93.1900, device='cuda:0')
70  468  tensor(93.1067, device='cuda:0')
71  468  tensor(93.1633, device='cuda:0')
72  468  tensor(93.2717, device='cuda:0')
73  468  tensor(93.0950, device='cuda:0')
74  468  tensor(93.2200, device='cuda:0')
75  468  tensor(93.3917, device='cuda:0')
