0  tensor(9.2500, device='cuda:0')
0  468  tensor(26.8150, device='cuda:0')
0  tensor(52.9400, device='cuda:0')
1  468  tensor(48.3550, device='cuda:0')
0  tensor(73.3600, device='cuda:0')
2  468  tensor(59.3350, device='cuda:0')
0  tensor(75.2200, device='cuda:0')
3  468  tensor(64.4217, device='cuda:0')
0  tensor(78.3700, device='cuda:0')
4  468  tensor(67.5983, device='cuda:0')
0  tensor(80.2200, device='cuda:0')
5  468  tensor(70.6167, device='cuda:0')
0  tensor(81.8000, device='cuda:0')
6  468  tensor(72.8200, device='cuda:0')
0  tensor(83.4800, device='cuda:0')
7  468  tensor(74.9733, device='cuda:0')
0  tensor(85.9700, device='cuda:0')
8  468  tensor(76.1433, device='cuda:0')
0  tensor(86.1400, device='cuda:0')
9  468  tensor(77.8583, device='cuda:0')
0  tensor(87.6300, device='cuda:0')
10  468  tensor(79.0133, device='cuda:0')
0  tensor(87.5900, device='cuda:0')
11  468  tensor(80.2300, device='cuda:0')
0  tensor(87.7600, device='cuda:0')
12  468  tensor(80.8333, device='cuda:0')
0  tensor(88.5300, device='cuda:0')
13  468  tensor(81.5933, device='cuda:0')
0  tensor(89.2500, device='cuda:0')
14  468  tensor(82.3067, device='cuda:0')
0  tensor(89.3900, device='cuda:0')
15  468  tensor(82.6650, device='cuda:0')
0  tensor(89.6700, device='cuda:0')
16  468  tensor(83.4383, device='cuda:0')
0  tensor(90.0100, device='cuda:0')
17  468  tensor(84.1267, device='cuda:0')
0  tensor(89.4000, device='cuda:0')
18  468  tensor(84.2183, device='cuda:0')
0  tensor(90.5900, device='cuda:0')
19  468  tensor(84.7483, device='cuda:0')
0  tensor(91., device='cuda:0')
20  468  tensor(84.8667, device='cuda:0')
0  tensor(90.7200, device='cuda:0')
21  468  tensor(85.3567, device='cuda:0')
0  tensor(91.3300, device='cuda:0')
22  468  tensor(85.8517, device='cuda:0')
0  tensor(91.4800, device='cuda:0')
23  468  tensor(85.8050, device='cuda:0')
0  tensor(91.3500, device='cuda:0')
24  468  tensor(86.3367, device='cuda:0')
0  tensor(91.3300, device='cuda:0')
25  468  tensor(86.6833, device='cuda:0')
0  tensor(91.7600, device='cuda:0')
26  468  tensor(86.7083, device='cuda:0')
0  tensor(91.9200, device='cuda:0')
27  468  tensor(86.8533, device='cuda:0')
0  tensor(91.1900, device='cuda:0')
28  468  tensor(87.2817, device='cuda:0')
0  tensor(91.9500, device='cuda:0')
29  468  tensor(87.3800, device='cuda:0')
0  tensor(91.7000, device='cuda:0')
30  468  tensor(87.6100, device='cuda:0')
0  tensor(92.3200, device='cuda:0')
31  468  tensor(87.6900, device='cuda:0')
0  tensor(92.3400, device='cuda:0')
32  468  tensor(87.9533, device='cuda:0')
0  tensor(92.0800, device='cuda:0')
